id,cliente_id,endereco
31,1301,"Praia Arthur Gabriel Farias, 91, Palmares, 13573-677 Ribeiro de Silveira / PE"
32,1920,"Rua Gabriela Cavalcante, Conjunto Jatoba, 82389-691 Fogaça / RN"
33,276,"Área de Cunha, 350, Coqueiros, 10151-969 Pires / RR"
34,601,"Conjunto Cavalcanti, 68, Nova Floresta, 19577-631 da Mata / SP"
35,901,"Esplanada de Sampaio, 73, Miramar, 54990-597 Pereira / RS"
36,465,"Ladeira Mariah da Luz, 81, Bacurau, 85830529 Casa Grande / MT"
37,639,"Parque de Rocha, 66, Eymard, 01008-703 Montenegro de Albuquerque / TO"
38,1615,"Lago Mendes, 577, Luxemburgo, 43984278 Moura de Minas / SP"
39,1901,"Viela de Machado, 144, Aarão Reis, 45474800 Cunha / RN"
40,2899,"Via Caldeira, 7, Vila Nova Gameleira 1ª Seção, 13201668 Brito / PE"
41,2215,"Via de Correia, 94, Vila São Gabriel, 72052-585 Monteiro / PI"
42,861,"Conjunto de Garcia, 138, Marçola, 26018227 Nogueira / RO"
43,1507,"Praia de Siqueira, 329, Ápia, 99670827 Santos / GO"
44,2885,"Passarela Antônio Azevedo, São João Batista, 48398-209 Nunes de Goiás / AC"
45,191,"Estrada de da Mota, Minas Brasil, 43471-279 Correia / SE"
46,88,"Colônia de Câmara, 76, Vista Do Sol, 63634-019 Oliveira / CE"
47,1664,"Praia Emanuelly Cavalcante, 59, Vila Ecológica, 77828-054 da Rocha / PR"
48,850,"Lagoa Esther Lopes, 24, Vila Bandeirantes, 94543-853 Martins / AM"
49,359,"Quadra de Brito, 138, Vila Mantiqueira, 46043-872 Fogaça de Câmara / DF"
50,1689,"Morro Isabela da Rocha, 346, Cinquentenário, 48675224 Freitas / AP"
51,2399,"Feira Maria Luiza Teixeira, Alto Vera Cruz, 38110005 da Conceição de da Rosa / AL"
52,2334,"Trevo Théo Vasconcelos, 955, Conjunto Jatoba, 49318-549 Martins / CE"
53,1686,"Passarela das Neves, 94, Vila Do Pombal, 31209677 Cardoso de Alves / MA"
54,2216,"Estrada Apollo Ramos, 8, Vila Betânia, 19715296 Sousa do Galho / AP"
55,863,"Rodovia da Rocha, 8, Pompéia, 22364505 Melo / TO"
56,2595,"Jardim de da Rosa, 1, Vila Coqueiral, 74531901 Nogueira de da Conceição / DF"
57,17,"Estrada Almeida, 2, São Bento, 45120177 Silva do Oeste / RR"
58,2740,"Lago de Ribeiro, 69, Vila Piratininga Venda Nova, 24372516 Nunes das Pedras / BA"
59,559,"Favela Alexia Barbosa, 22, Jardim Do Vale, 22246783 Nogueira de Minas / GO"
60,2175,"Quadra de Andrade, 81, Vila Paris, 82948123 das Neves de Siqueira / GO"
61,2634,"Viela Antônio Araújo, 54, Maria Goretti, 26299654 Cunha de Cardoso / AM"
62,2006,"Estrada de Ribeiro, 40, João Pinheiro, 30900452 Leão da Serra / ES"
63,1265,"Largo de Ribeiro, Tres Marias, 73585-449 Jesus / MT"
64,1558,"Jardim Garcia, 72, Pantanal, 24241-224 Duarte de Pereira / SE"
65,2228,"Colônia Castro, 1, Santa Maria, 75913-235 da Cruz de Nascimento / ES"
66,2201,"Estrada Rodrigo Freitas, 891, Vila Nova Paraíso, 78362665 Novais / SP"
67,271,"Via Heloisa Duarte, 998, Novo Aarão Reis, 27303-425 Dias da Mata / AP"
68,321,"Morro de Costela, 57, Jaraguá, 67630082 Macedo / SC"
69,2478,"Estrada Martins, 8, Boa Viagem, 03139-599 da Paz do Sul / AM"
70,2993,"Pátio de Borges, 77, Conjunto Jardim Filadélfia, 36817-200 Gonçalves do Oeste / DF"
71,2019,"Vale Macedo, 95, Santa Sofia, 69886-758 Pacheco da Prata / PE"
72,63,"Aeroporto Carlos Eduardo Novais, 1, Beija Flor, 71461807 Fogaça das Flores / ES"
73,836,"Rodovia de Barbosa, Santo André, 58278-254 Pastor / MS"
74,1718,"Largo Thomas das Neves, 76, João Alfredo, 18688052 Nascimento das Flores / PI"
75,2528,"Parque Montenegro, Conjunto Floramar, 31307-220 Jesus / MG"
76,1475,"Alameda de Santos, 83, Sport Club, 67620-815 Ramos / AL"
77,1279,"Rodovia Porto, 688, Canaa, 83318-146 Brito de Fonseca / PI"
78,343,"Sítio de Moreira, 86, Vila Cemig, 77124803 Araújo / PI"
79,96,"Jardim Thales Pimenta, 19, Cachoeirinha, 49126-825 Marques de Rodrigues / PA"
80,980,"Colônia de Cavalcanti, 258, Vila Santo Antônio Barroquinha, 53260-352 da Cruz / MG"
81,2515,"Favela Sophie Siqueira, 77, Biquinhas, 24997477 Souza de Minas / MS"
82,115,"Aeroporto João Gabriel Farias, 64, Vila Nova Gameleira 3ª Seção, 99419458 Peixoto de Goiás / TO"
83,2409,"Rua Rezende, Alpes, 65890902 Silva do Norte / CE"
84,2100,"Colônia Martins, 58, Vila Nova Cachoeirinha 1ª Seção, 00126-545 Azevedo Alegre / CE"
85,1506,"Parque Leão, 92, Manacas, 14119436 Pimenta de Cassiano / PI"
86,629,"Viaduto Erick Lima, Embaúbas, 32446-859 Mendes / PA"
87,1908,"Viaduto de Jesus, São Francisco, 90327011 da Luz / RS"
88,1059,"Praça de Pereira, 484, Boa Vista, 14617216 Ferreira / RR"
89,452,"Viaduto Pinto, 42, Colégio Batista, 82946996 Pinto da Mata / GO"
90,2432,"Quadra Nicolas Mendonça, 535, Capitão Eduardo, 40896725 Rocha / MT"
91,1832,"Condomínio João Lucas da Rocha, 3, Prado, 78943472 Martins / PR"
92,1141,"Praia Monteiro, 470, Conjunto Providencia, 42530-363 Teixeira Verde / PR"
93,900,"Colônia Garcia, 4, Bairro Das Indústrias Ii, 89168-698 Carvalho / RN"
94,1568,"Largo Danilo Araújo, 89, São Gabriel, 98240952 Porto do Campo / RO"
95,1574,"Trevo de Borges, 55, Alto Caiçaras, 08250696 Fonseca / SP"
96,2076,"Rodovia Nogueira, 44, Padre Eustáquio, 24110-455 Ferreira de Minas / PE"
97,1392,"Vereda Maria Flor Rezende, 61, Nossa Senhora Da Aparecida, 09518374 Ramos / AP"
98,936,"Colônia de Camargo, 34, Nova Suíça, 35249-140 Vieira / AM"
99,2418,"Morro Benjamin da Cruz, 29, Marieta 1ª Seção, 50212558 da Costa / TO"
100,1081,"Vereda de Rezende, Trevo, 20933-056 Moura / RJ"
101,365,"Núcleo Luiz Gustavo Rios, 81, Lagoa, 44737473 Pinto do Oeste / DF"
102,181,"Residencial de Pereira, Minas Brasil, 46418-840 Fernandes / MS"
103,635,"Quadra Helena Fernandes, 61, Cinquentenário, 61499-362 Souza de da Conceição / PI"
104,1293,"Fazenda de da Conceição, 108, Vitoria, 75141861 Sousa / PB"
105,2568,"Esplanada de Viana, 34, Grotinha, 42238-305 Caldeira / DF"
106,2393,"Vereda da Rocha, 372, Cônego Pinheiro 2ª Seção, 84168-113 Brito do Norte / PR"
107,2309,"Loteamento Vinicius Peixoto, 9, Novo Glória, 10652815 Freitas / AM"
108,1987,"Vale Luiz Fernando Sousa, 90, Guarani, 57247-330 Sá de Minas / AL"
109,260,"Parque Luara Costela, 653, São Tomaz, 46899588 Leão de Sales / RN"
110,2160,"Largo de Nogueira, 38, Campo Alegre, 94139584 Pinto de Vargas / MT"
111,1964,"Avenida Stella Macedo, 49, Vila Aeroporto, 55399705 Marques dos Dourados / BA"
112,1781,"Largo Ramos, 66, Serrano, 75311-937 Ramos de Nascimento / MA"
113,1309,"Fazenda Vitor Gabriel Porto, 4, Paraíso, 49421-889 Sales / CE"
114,1580,"Parque Campos, Vila Maloca, 65228-146 Souza / ES"
115,2987,"Largo das Neves, 70, Madri, 42473996 Abreu de Aparecida / RS"
116,100,"Largo de Alves, 878, Jardim Montanhês, 94732-886 Cunha de Siqueira / MG"
117,478,"Trevo Maria Laura Gomes, 554, Cidade Jardim Taquaril, 22430-571 Moreira / PE"
118,1779,"Via de Santos, 61, Vila União, 68088000 Sales de Teixeira / PE"
119,2487,"Praia João Vitor Pastor, 69, São Jorge 2ª Seção, 83782-318 Guerra Alegre / MA"
120,2722,"Setor de Barros, 11, Vila Santa Monica 2ª Seção, 15117-601 Sousa das Pedras / PB"
121,548,"Vale de Campos, 62, Acaiaca, 71168-130 Rios da Mata / TO"
122,581,"Estação de Gonçalves, 4, São Lucas, 17418404 Fogaça de Rios / AC"
123,128,"Lago Porto, 93, Madre Gertrudes, 28060-871 Caldeira / AP"
124,488,"Residencial Pastor, 60, Santa Efigênia, 23695399 Ribeiro dos Dourados / PE"
125,2890,"Distrito Gonçalves, Serrano, 18522-494 Novaes / RR"
126,1761,"Pátio Rafaela Cavalcante, Jatobá, 68117-003 Porto Alegre / SE"
127,1016,"Núcleo de Vieira, 25, Estrela Do Oriente, 83763-357 Peixoto / PI"
128,131,"Rua de Alves, 843, Vila Puc, 84621375 Andrade Verde / PA"
129,2578,"Área Pimenta, 934, Álvaro Camargos, 64648005 Nogueira da Serra / MT"
130,1115,"Pátio José Miguel Camargo, 69, Vila Paquetá, 66893-380 Santos de Goiás / PI"
131,1083,"Recanto Macedo, 46, União, 39104-030 Monteiro / MG"
132,1575,"Vale de Marques, 58, Baleia, 60414408 Costa dos Dourados / MS"
133,473,"Jardim Cardoso, 68, Carlos Prates, 25584477 Pinto de Oliveira / SP"
134,1409,"Rua de Fonseca, 83, Lindéia, 95310-626 da Conceição / SE"
135,1195,"Loteamento de Alves, 45, Conjunto São Francisco De Assis, 97215561 Sá de Minas / SP"
136,1531,"Estrada Sousa, 888, Vila São Geraldo, 16071052 Porto da Serra / RR"
137,2524,"Parque da Mata, 208, Nova Pampulha, 19092272 Oliveira / PE"
138,2610,"Praia Emanuelly Guerra, 6, Mangueiras, 80825280 Nunes / AL"
139,777,"Trecho de Pereira, 83, Teixeira Dias, 28472170 Garcia / RS"
140,2219,"Praça de Ferreira, 73, Padre Eustáquio, 87854-229 Moreira do Galho / GO"
141,2220,"Vale Marcos Vinicius Cirino, 10, Floresta, 30942-844 Sá / PI"
142,245,"Residencial Enzo Borges, 2, Mantiqueira, 64977923 Fogaça da Mata / AC"
143,1388,"Campo Sá, 34, Gutierrez, 03792-144 Marques / ES"
144,2112,"Condomínio Luna Cavalcante, 66, Ápia, 17489075 Sales / PI"
145,2262,"Praça de Pereira, 32, Serra Do Curral, 99770-155 Lima / DF"
146,58,"Distrito Pedro Lucas Machado, 367, Vila Novo São Lucas, 79396-165 Mendes / RN"
147,662,"Jardim de Pastor, 4, Urca, 91965473 Macedo Alegre / AM"
148,2030,"Rodovia Alves, 353, Santa Maria, 83187733 Silveira da Serra / RN"
149,90,"Vereda Milena Dias, 32, Flavio Marques Lisboa, 14185-468 Castro / SP"
150,2610,"Praia Júlia Melo, 2, Renascença, 13129-935 Montenegro de Macedo / RO"
151,1057,"Rodovia Davi Miguel Novais, 92, Guaratã, 15417069 Câmara de Castro / CE"
152,1359,"Fazenda de Jesus, 5, Silveira, 58202-762 Costa / CE"
153,564,"Alameda Camargo, 9, Acaba Mundo, 73741570 Mendonça dos Dourados / MS"
154,1410,"Favela Camargo, 25, Providencia, 48987827 Câmara dos Dourados / AC"
155,407,"Vila Pastor, 2, Bonsucesso, 28092-570 Teixeira / GO"
156,2513,"Setor de Aparecida, 14, Bom Jesus, 83766659 da Mota / PR"
157,2299,"Fazenda da Costa, 53, Caetano Furquim, 15907-443 Lopes de Souza / PR"
158,1711,"Via de Fernandes, 626, Vila São Francisco, 33658339 Fernandes / SE"
159,278,"Ladeira Mirella Azevedo, 24, Cônego Pinheiro 1ª Seção, 74661562 Borges / SC"
160,1031,"Distrito de da Luz, 63, Marilandia, 57607-727 Azevedo Grande / AP"
161,2337,"Setor Barros, 82, Acaiaca, 96757202 Cardoso de Rezende / AL"
162,427,"Lagoa Pereira, 78, Canadá, 83642324 Garcia das Pedras / AL"
163,2133,"Fazenda de Leão, 71, Paquetá, 49546678 Ribeiro / AP"
164,308,"Rodovia de Câmara, 9, Vila Jardim Leblon, 71164-947 Macedo do Amparo / PE"
165,2402,"Lagoa de Fernandes, Araguaia, 81219-201 Nascimento de Casa Grande / SP"
166,526,"Trecho Porto, 26, São Geraldo, 55881752 Cunha / RJ"
167,1988,"Rodovia de Ramos, 74, Vila São Gabriel, 07710384 Marques da Prata / PI"
168,142,"Praça Vitória Pacheco, 49, São Jorge 3ª Seção, 72237459 Porto de Minas / RS"
169,2131,"Esplanada João Brito, 6, Vila Independencia 1ª Seção, 91995216 da Costa / MS"
170,916,"Núcleo Nogueira, Vera Cruz, 06507901 Marques / MG"
171,1423,"Lagoa Lorenzo Rezende, 63, Providencia, 05760676 Brito dos Dourados / AL"
172,397,"Loteamento Barbosa, 88, Santa Branca, 49446109 Barbosa / SE"
173,2285,"Esplanada de Barbosa, 15, União, 31954-867 Machado do Campo / PB"
174,2898,"Condomínio de Nascimento, 4, Marmiteiros, 09941-321 Gonçalves / MA"
175,889,"Sítio de Araújo, 253, Vila Nova Gameleira 2ª Seção, 73779023 Oliveira Alegre / MA"
176,726,"Esplanada de Sampaio, Coqueiros, 90974-310 Pires Verde / AL"
177,2842,"Estação Mathias da Conceição, 107, Jonas Veiga, 26424402 Melo / GO"
178,2718,"Alameda Aragão, Rio Branco, 17815152 Casa Grande Verde / RR"
179,943,"Via Aparecida, 2, Mala E Cuia, 69686-515 Albuquerque / ES"
180,1635,"Lagoa Monteiro, 41, Granja De Freitas, 45440-911 Azevedo das Pedras / RR"
181,825,"Estação Raquel Monteiro, Dom Bosco, 08583-640 Rocha / AM"
182,2494,"Avenida de Sá, 612, Morro Dos Macacos, 34329235 Correia / AC"
183,2861,"Núcleo de Aragão, 545, Vila Barragem Santa Lúcia, 65921653 Moura de Fogaça / RJ"
184,1799,"Quadra Silveira, 16, Conjunto Providencia, 10932148 Marques das Flores / MS"
185,1428,"Vila de Andrade, 10, Vila Santa Monica 2ª Seção, 26650582 Sousa / MA"
186,648,"Vereda de Almeida, 10, Leonina, 72561038 Ferreira do Campo / PI"
187,1103,"Condomínio de Pinto, 3, Confisco, 52668970 Nascimento do Amparo / SP"
188,2953,"Colônia de Viana, 72, Comiteco, 67013789 Pires de da Cruz / MS"
189,1428,"Jardim Maya Gonçalves, 85, Vila Nova Cachoeirinha 2ª Seção, 25747596 Silveira de Vieira / MG"
190,2242,"Esplanada Cauê Câmara, Rio Branco, 61769-857 Câmara / MA"
191,823,"Avenida de Porto, 58, Caiçara - Adelaide, 65066-217 Silva / CE"
192,886,"Conjunto Ana Cecília Fonseca, 6, Vila Pilar, 59820335 Mendonça / DF"
193,1908,"Passarela Barros, 20, Vila Primeiro De Maio, 53536836 Rezende / MA"
194,1286,"Condomínio de Fogaça, 434, Conjunto Providencia, 07157-351 Costela / SP"
195,527,"Rua Garcia, 83, Vila Nova Gameleira 1ª Seção, 05217057 Machado / RS"
196,1134,"Campo de Cavalcanti, 12, Vila Novo São Lucas, 68126091 Duarte de Aragão / MA"
197,2299,"Alameda Melo, 59, Vila Da Paz, 05103278 Vieira / MT"
198,2722,"Pátio de Cunha, 67, Vila União, 48140097 Lopes / MS"
199,2,"Jardim de Rezende, 48, Nova Suíça, 26752-726 Marques de Dias / RO"
200,342,"Ladeira Castro, 12, Serra, 53275-012 Teixeira de Goiás / AC"
201,2705,"Campo da Paz, São Paulo, 69799-204 da Cunha / SP"
202,1344,"Lago Almeida, 55, Nova Cachoeirinha, 70159-877 da Paz do Sul / RO"
203,1264,"Praça Carvalho, 75, Alto Barroca, 20157-054 Melo de Ribeiro / MG"
204,2894,"Morro Dante Viana, 4, Marieta 1ª Seção, 24200050 Almeida / MT"
205,1325,"Loteamento Erick Cavalcante, 168, Mariquinhas, 79477694 Teixeira / AC"
206,144,"Recanto Gael Henrique Andrade, 1, Andiroba, 22174-728 Moura de Rezende / AM"
207,347,"Núcleo de Azevedo, 773, Flamengo, 39884-632 Azevedo de Oliveira / MA"
208,2506,"Sítio Maria Luiza da Conceição, Maria Helena, 08556575 Correia de Minas / RO"
209,58,"Chácara de Vieira, Diamante, 72550427 Cavalcanti das Flores / PE"
210,1198,"Recanto Guerra, Vila Paris, 64660-040 Castro / AP"
211,470,"Favela de Mendes, 3, Dom Silverio, 00948-872 Silveira / RJ"
212,682,"Quadra Fonseca, 64, Engenho Nogueira, 44343-813 Siqueira / PB"
213,2916,"Esplanada de Santos, 4, Pirineus, 87701-235 Sá / SC"
214,1128,"Aeroporto Marcos Vinicius da Luz, 84, Flavio De Oliveira, 71954-350 Pacheco do Sul / RR"
215,825,"Residencial Maria Luiza Oliveira, 43, Jardim Dos Comerciarios, 22132-427 Ramos / BA"
216,2101,"Setor Lopes, 71, Mangueiras, 39991793 Freitas / SP"
217,2272,"Viela de Cavalcanti, 9, Sport Club, 88231-660 Mendonça da Prata / RR"
218,1419,"Chácara Novaes, 78, Jardim Vitoria, 37431404 Nascimento / SE"
219,1840,"Fazenda Maria Cecília Carvalho, 13, Vila Real 1ª Seção, 74488-196 Pastor / AM"
220,365,"Trevo Davi Sousa, 311, Vila Jardim Alvorada, 03061-822 Melo / RS"
221,1699,"Rodovia Fonseca, 28, Maravilha, 66499-041 Castro do Campo / PB"
222,2060,"Fazenda de Almeida, 20, Guaratã, 54704-892 da Costa / PB"
223,2179,"Praça Melo, 35, Vila Suzana Segunda Seção, 68391155 Andrade / PA"
224,1676,"Campo Nicole Novaes, Vila Jardim Leblon, 67872409 Jesus da Prata / MG"
225,503,"Rodovia de Duarte, 16, Aparecida, 67506821 Borges de Rocha / RJ"
226,330,"Área de Ribeiro, 41, Vila Trinta E Um De Março, 79158-787 Ribeiro de Rios / SC"
227,2432,"Estrada de Mendes, 57, Vila Formosa, 74719512 Marques / RR"
228,1897,"Travessa de Garcia, 7, Vila Paquetá, 43102-800 Teixeira dos Dourados / AL"
229,1328,"Feira de da Mota, 32, Andiroba, 79100-321 Moreira das Pedras / ES"
230,714,"Ladeira Marcos Vinicius da Cruz, 58, Jardim Do Vale, 94663063 da Rosa das Flores / SC"
231,1215,"Condomínio Caroline Sampaio, Novo Ouro Preto, 29186529 Leão do Galho / ES"
232,988,"Aeroporto de Porto, 545, Nossa Senhora Do Rosário, 10484702 Mendes / PB"
233,2574,"Favela Gustavo Henrique Melo, 16, Camponesa 2ª Seção, 91202-269 Brito do Amparo / GO"
234,1790,"Pátio Rios, 11, Heliopolis, 55768-705 Nunes de Dias / RR"
235,2760,"Via Vitor Hugo Cunha, 1, Vila Trinta E Um De Março, 84411990 Machado / MG"
236,2863,"Vereda Silva, 61, Vila Havaí, 94848-796 Correia do Oeste / RO"
237,1175,"Passarela de Campos, 97, Comiteco, 38287151 Silva dos Dourados / GO"
238,129,"Parque Pimenta, 4, Maria Helena, 59218119 Rodrigues / MT"
239,94,"Viaduto Guilherme Casa Grande, 13, João Alfredo, 03214769 Nunes das Pedras / MS"
240,34,"Estrada Caio Machado, 1, Caiçaras, 23433073 Monteiro / GO"
241,2616,"Trecho de Lima, 28, Suzana, 09902525 Gonçalves das Flores / GO"
242,1104,"Recanto de Silveira, Vila Nova Gameleira 1ª Seção, 31038-503 Gomes / RR"
243,313,"Vale Maria Luísa Costa, 79, Solar Do Barreiro, 35665-197 Ribeiro / MA"
244,2709,"Área da Rocha, 50, Alto Caiçaras, 28754-734 Vargas / MG"
245,1283,"Parque Farias, 775, Conjunto Bonsucesso, 30166-236 Rezende / AP"
246,1299,"Loteamento de Peixoto, Laranjeiras, 75262-170 Azevedo / BA"
247,2244,"Aeroporto de Freitas, 53, Vila Nova, 92857-350 Fernandes / TO"
248,2677,"Esplanada João Lucas Nascimento, 10, Dom Silverio, 33430-973 Rodrigues / SE"
249,1178,"Viela de Viana, 95, Novo Aarão Reis, 67519-211 Pimenta / CE"
250,199,"Avenida Vitória Vieira, 2, Nossa Senhora De Fátima, 41251745 Viana do Galho / ES"
251,2902,"Alameda Gabrielly Casa Grande, 59, Indaiá, 31511-113 Farias Paulista / SP"
252,1020,"Setor Yasmin da Paz, 24, Bela Vitoria, 19272-857 Lopes / AM"
253,2836,"Esplanada João Miguel da Cruz, 552, Heliopolis, 94967-306 Barros / BA"
254,2117,"Feira de Andrade, 86, Vila Antena, 35853358 Silva / MT"
255,574,"Conjunto Theodoro Lopes, 56, Vila São Francisco, 90273-759 Macedo da Praia / PI"
256,1064,"Feira Isaque Porto, 6, Novo Das Industrias, 28284569 Oliveira do Sul / CE"
257,2446,"Esplanada Raul das Neves, 60, Frei Leopoldo, 98285-084 Vasconcelos de Andrade / AC"
258,230,"Trecho Ryan da Rocha, 1, Tupi B, 06215583 Cavalcanti / MS"
259,1592,"Pátio Pastor, 14, Acaiaca, 86951955 Gomes do Amparo / DF"
260,1715,"Loteamento Davi Luiz Rocha, 1, Primeiro De Maio, 00295162 Albuquerque de Goiás / RN"
261,1151,"Pátio da Rocha, 25, Cidade Nova, 58094875 Azevedo de Minas / MG"
262,2386,"Estação de Albuquerque, 49, Xodo-Marize, 58516177 Pires / DF"
263,924,"Vale Rafaela Câmara, 16, Santa Tereza, 26171130 Campos / BA"
264,1039,"Núcleo Novais, 14, Braúnas, 87821-298 Lopes / MA"
265,1282,"Lago Rezende, 9, Vila Real 1ª Seção, 98211-538 Rios / AL"
266,2183,"Praia Ayla Castro, Leticia, 41618106 Rios / PR"
267,2005,"Rodovia Ana Beatriz Andrade, 91, Madri, 66080-738 da Mata / CE"
268,1839,"Praia Pereira, Vila Da Paz, 08419021 Nascimento de da Conceição / TO"
269,2902,"Condomínio de Mendonça, 4, Vila Fumec, 24243-267 Oliveira / GO"
270,504,"Vereda Bento Ramos, 57, Monte Azul, 90159431 Caldeira do Galho / PR"
271,1736,"Feira Oliveira, 87, Vila Cemig, 87618893 Ramos de Minas / DF"
272,1534,"Sítio Pereira, 30, Pirineus, 78630984 Rodrigues / SP"
273,695,"Passarela de Câmara, 941, Boa União 1ª Seção, 42125-471 Nascimento do Oeste / MA"
274,2133,"Lagoa de da Cunha, 56, Unidas, 57927-110 Costa do Galho / RO"
275,211,"Conjunto Albuquerque, 1, Casa Branca, 26444-406 da Rocha Paulista / RN"
276,947,"Favela de Sales, 449, Serra Verde, 21707066 Gomes do Amparo / MA"
277,2893,"Residencial Jesus, 763, Vila Paraíso, 04326-606 Ferreira / MA"
278,1956,"Viaduto de Martins, Luxemburgo, 96792-076 Araújo / RN"
279,1572,"Trevo Pedro Miguel Pacheco, 15, São João, 27621-503 Costa / DF"
280,126,"Morro Kaique Duarte, 23, Estrela Do Oriente, 00714678 Marques de Minas / RN"
281,977,"Viaduto Larissa Sampaio, 67, Cenaculo, 83291-214 Abreu da Serra / AC"
282,333,"Esplanada da Luz, 2, Goiania, 85397708 Sá / GO"
283,1263,"Condomínio de Caldeira, 68, Buraco Quente, 90155-023 Costa Verde / DF"
284,404,"Travessa Fogaça, Vila Nova Gameleira 2ª Seção, 84188217 da Rocha da Serra / PE"
285,749,"Quadra Hellena Siqueira, 65, Vera Cruz, 74145-098 Gomes / TO"
286,528,"Via Luana Correia, 952, São Jorge 2ª Seção, 47403085 Vieira / RN"
287,1793,"Rodovia de Caldeira, 18, Araguaia, 68225900 Rodrigues / MS"
288,63,"Parque de Moraes, 98, Vila Bandeirantes, 20564-953 Mendonça / TO"
289,1484,"Favela Anna Liz Nogueira, Flavio De Oliveira, 45364127 da Mata / PE"
290,2153,"Esplanada Maria Helena Ribeiro, Vila Inestan, 47962618 Rios / MG"
291,1696,"Viela Luiza Moraes, 31, Jardim Atlântico, 63761234 Porto / BA"
292,511,"Ladeira Pastor, Venda Nova, 07379-216 Aragão Paulista / PR"
293,2160,"Chácara da Mata, 51, Gutierrez, 29878659 Macedo do Amparo / BA"
294,1010,"Condomínio de Montenegro, Túnel De Ibirité, 24907-797 Castro / PI"
295,2048,"Distrito Vieira, 71, Gameleira, 38477306 Vasconcelos / PB"
296,1154,"Condomínio Thales Novais, Santa Sofia, 02290-954 Sousa da Serra / PA"
297,1100,"Trevo Vinícius da Rocha, 21, Vila Copasa, 56526-829 Porto / MA"
298,1656,"Chácara Siqueira, 6, Colégio Batista, 58698060 Duarte / PB"
299,1768,"Alameda de da Conceição, 2, Palmeiras, 88045568 Mendonça / RN"
300,1929,"Vila Renan da Paz, Santa Rosa, 27062-454 Caldeira do Campo / PR"
301,2857,"Distrito Gustavo Henrique Mendonça, 117, Pindura Saia, 34357-956 Melo / MA"
302,240,"Praça Guerra, 473, Vila Nova Gameleira 3ª Seção, 05750982 da Mota de Minas / PA"
303,673,"Lagoa Julia da Cunha, 85, Mangueiras, 64158-110 Araújo / PE"
304,2905,"Vereda Maria Alice Rios, 59, São João, 43983-675 Sá do Galho / PE"
305,2148,"Estação de Leão, 53, Vila Boa Vista, 39025632 Rodrigues de Cunha / PB"
306,1464,"Favela de Souza, 99, Estrela Do Oriente, 27194564 Costela / RO"
307,830,"Campo de Jesus, 5, Pilar, 22517-418 Sousa / PA"
308,1021,"Praia Anthony Farias, 2, Pousada Santo Antonio, 94961-380 Ramos / RR"
309,620,"Praia Gonçalves, 64, Ipe, 17338-475 Farias da Mata / SC"
310,907,"Largo Caleb Peixoto, 41, Alto Vera Cruz, 43962598 Rezende / MT"
